video,frame_number,pts_us,qr_timestamp_us,offset_us,offset_ms
cam1_rec8.mkv,540,9108000,1768257809746000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,1081,18124000,1768257818779000,-1768257800655000,-1768257800655.0
cam1_rec8.mkv,2162,36132000,1768257836766000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,2703,45148000,1768257845794000,-1768257800646000,-1768257800646.0
cam1_rec8.mkv,3243,54144000,1768257854793000,-1768257800649000,-1768257800649.0
cam1_rec8.mkv,3784,63161000,1768257863798000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,4324,72157000,1768257872795000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,4865,81169000,1768257881814000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,5406,90185000,1768257890819000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,5946,99181000,1768257899825000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,6487,108193000,1768257908842000,-1768257800649000,-1768257800649.0
cam1_rec8.mkv,7027,117193000,1768257917837000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,9190,153230000,1768257953875000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,9730,162230000,1768257962880000,-1768257800650000,-1768257800650.0
cam1_rec8.mkv,10271,171242000,1768257971892000,-1768257800650000,-1768257800650.0
cam1_rec8.mkv,10812,180258000,1768257980903000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,12434,207283000,1768258007917000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,12974,216279000,1768258016919000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,13515,225291000,1768258025933000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,14055,234291000,1768258034931000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,15137,252320000,1768258052961000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,15677,261316000,1768258061959000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,16218,270328000,1768258070966000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,16758,279328000,1768258079964000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,18921,315365000,1768258116007000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,19461,324365000,1768258124994000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,20002,333377000,1768258134018000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,22164,369397000,1768258170044000,-1768257800647000,-1768257800647.0
cam1_rec8.mkv,22705,378414000,1768258179060000,-1768257800646000,-1768257800646.0
cam1_rec8.mkv,23246,387426000,1768258188072000,-1768257800646000,-1768257800646.0
cam1_rec8.mkv,24327,405438000,1768258206080000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,24868,414454000,1768258215096000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,25408,423450000,1768258224090000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,25949,432462000,1768258233106000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,26489,441463000,1768258242097000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,27030,450475000,1768258251112000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,27571,459487000,1768258260132000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,28652,477499000,1768258278132000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,29192,486495000,1768258287145000,-1768257800650000,-1768257800650.0
cam1_rec8.mkv,29733,495511000,1768258296148000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,30274,504524000,1768258305160000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,31895,531532000,1768258332170000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,32436,540548000,1768258341181000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,32977,549560000,1768258350199000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,33517,558560000,1768258359201000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,34058,567573000,1768258368212000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,35139,585585000,1768258386228000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,35680,594597000,1768258395236000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,36220,603593000,1768258404237000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,36761,612609000,1768258413249000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,38383,639634000,1768258440275000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,38923,648630000,1768258449278000,-1768257800648000,-1768257800648.0
cam1_rec8.mkv,39464,657646000,1768258458289000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,40005,666658000,1768258467299000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,40545,675658000,1768258476310000,-1768257800652000,-1768257800652.0
cam1_rec8.mkv,41626,693667000,1768258494293000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,42167,702683000,1768258503302000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,42708,711695000,1768258512338000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,43248,720691000,1768258521335000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,44870,747719000,1768258548362000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,45411,756731000,1768258557366000,-1768257800635000,-1768257800635.0
cam1_rec8.mkv,45951,765728000,1768258566362000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,46492,774744000,1768258575377000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,48114,801768000,1768258602397000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,48654,810764000,1768258611403000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,49195,819780000,1768258620420000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,49736,828793000,1768258629414000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,51357,855801000,1768258656438000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,51898,864817000,1768258665446000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,52439,873829000,1768258674466000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,52979,882825000,1768258683468000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,53520,892006000,1768258692643000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,55142,919034000,1768258719665000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,55682,928030000,1768258728660000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,56223,937042000,1768258737683000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,57845,964071000,1768258764711000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,58385,973067000,1768258773708000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,58926,982079000,1768258782718000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,59467,991095000,1768258791736000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,60007,1000091000,1768258800732000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,61088,1018103000,1768258818744000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,61629,1027116000,1768258827746000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,62170,1036132000,1768258836766000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,62710,1045127999,1768258845767000,-1768257800639001,-1768257800639.001
cam1_rec8.mkv,63251,1054140000,1768258854793000,-1768257800653000,-1768257800653.0
cam1_rec8.mkv,64332,1072152000,1768258872786000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,64873,1081168000,1768258881800000,-1768257800632000,-1768257800632.0
cam1_rec8.mkv,65413,1090165000,1768258890810000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,65954,1099177000,1768258899808000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,66494,1108177000,1768258908810000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,67576,1126201000,1768258926843000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,68116,1135201000,1768258935836000,-1768257800635000,-1768257800635.0
cam1_rec8.mkv,68657,1144213000,1768258944832000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,69197,1153209000,1768258953854000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,69738,1162226000,1768258962868000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,71360,1189250000,1768258989881000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,71901,1198266000,1768258998909000,-1768257800643000,-1768257800643.0
cam1_rec8.mkv,72441,1207262000,1768259007907000,-1768257800645000,-1768257800645.0
cam1_rec8.mkv,72982,1216274000,1768259016912000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,74604,1243299000,1768259043932000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,75144,1252299000,1768259052925000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,75685,1261311000,1768259061951000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,76225,1270307000,1768259070949000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,76766,1279323000,1768259079945000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,77307,1288335000,1768259088969000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,77847,1297336000,1768259097961000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,78388,1306348000,1768259106966000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,78928,1315344000,1768259115983000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,79469,1324360000,1768259124978000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,80550,1342372000,1768259143011000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,81091,1351384000,1768259152017000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,81631,1360380000,1768259161016000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,82172,1369397000,1768259170005000,-1768257800608000,-1768257800608.0
cam1_rec8.mkv,82713,1378409000,1768259179060000,-1768257800651000,-1768257800651.0
cam1_rec8.mkv,83253,1387405000,1768259188026000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,84335,1405433000,1768259206044000,-1768257800611000,-1768257800611.0
cam1_rec8.mkv,84875,1414433000,1768259215040000,-1768257800607000,-1768257800607.0
cam1_rec8.mkv,85416,1423445000,1768259224066000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,85956,1432442000,1768259233092000,-1768257800650000,-1768257800650.0
cam1_rec8.mkv,86497,1441458000,1768259242095000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,87578,1459470000,1768259260097000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,88119,1468482000,1768259269100000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,88659,1477478000,1768259278114000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,89200,1486594000,1768259287231000,-1768257800637000,-1768257800637.0
